ac_number,constituency,winner_candidate,winner_party,winner_votes,turnout,reserved,region,runnerup_candidate,runnerup_party,runnerup_votes,margin,total_votes,winner_vote_share
186,Sivaganga,PR. Senthilnathan,AIADMK,82153,66.29,GEN,South,S. Gunasekaran,CPI,70900,11253,202044,40.66094514066243
187,Manamadurai,Tamilarasi A.,DMK,89364,72.05,SC,South,Nagarajan S.,AIADMK,75273,14091,203061,44.00845066260877
188,Melur,PERIYAPULLAN @ SELVAM  P.,AIADMK,83344,74.23,GEN,South,RAVICHANDRAN  T.,INC,48182,35162,182782,45.597487717608956
189,Madurai East,MOORTHY P,DMK,122729,71.34,GEN,South,GOPALAKRISHNAN R,AIADMK,73125,49604,237892,51.590217409580816
190,Sholavandan,VENKATESAN A,DMK,84240,79.49,SC,South,MANICKAM K,AIADMK,67195,17045,175361,48.038047228289074
191,Madurai North,THALAPATHI G,DMK,73010,63.6,GEN,South,SARAVANAN P,BJP,50094,22916,156556,46.63506987914868
192,Madurai South,BOOMINATHAN.M,DMK,62812,63.8,GEN,South,SARAVANAN. S.S,AIADMK,56297,6515,147833,42.4884836267951
193,Madurai Central,PALANIVEL THIAGA RAJAN,DMK,73205,61.03,GEN,South,JOTHI MUTHURAMALINGAM N,AIADMK,39029,34176,149430,48.989493408284815
194,Madurai West,RAJU. K,AIADMK,83883,65.12,GEN,South,CHINNAMMAL. C,DMK,74762,9121,201694,41.58923914444654
195,Thiruparankundram,"RAJANCHELLAPPA, V.V.",AIADMK,103683,72.73,GEN,South,PONNUTHAI,CPI(M),74194,29489,235849,43.96160255078461
196,Thirumangalam,UDHAYAKUMAR R B,AIADMK,100338,78.13,GEN,South,MANIMARAN M,DMK,86251,14087,220495,45.505793782171935
197,Usilampatti,AYYAPPAN P,AIADMK,71255,73.82,GEN,South,KATHIRAVAN P V,DMK,63778,7477,212513,33.529713476352036
198,Andipatti,A.MAHARAJAN,DMK,93541,74.85,GEN,South,A.LOGIRAJAN,AIADMK,85003,8538,209540,44.6411186408323
199,Periyakulam,K.S.SARAVANAKUMAAR,DMK,92251,69.94,SC,South,M Murugan,AIADMK,70930,21321,201797,45.71475294479105
200,Bodinayakanur,O.PANNEERSELVAM,AIADMK,100050,76.3,GEN,South,THANGATAMILSELVAN,DMK,89029,11021,214795,46.57929653856002
201,Cumbum,N.Ramakrishnan,DMK,104800,69.51,GEN,South,Syedukhan.S.P.M,AIADMK,62387,42413,202275,51.810653812878506
202,Rajapalayam,THANGAPANDIAN S.,DMK,74158,73.89,GEN,South,RAJENTHRABHALAJI K.T,AIADMK,70260,3898,178708,41.496743290731246
203,Srivilliputhur,"MANRAJ, E.M.",AIADMK,70475,73.14,SC,South,"MADHAVARAO, P.S.W.",INC,57737,12738,185039,38.0865655348332
204,Sattur,"RAGHURAMAN,  A.R.R.",DMK,74174,75.17,GEN,South,"RAVICHANDHRAN, R.K.",AIADMK,62995,11179,191783,38.676003608244734
205,Sivakasi,Ashokan.G,INC,78947,70.16,GEN,South,Lakshmi Ganesan,AIADMK,61628,17319,185047,42.66321529125033
206,Virudhunagar,SEENIVASAN A.R.R,DMK,73297,71.27,GEN,South,PANDURANGAN G,BJP,51958,21339,161717,45.32423925746829
207,Aruppukottai,K.K.S.S.R.RAMACHANDRAN,DMK,91040,75.6,GEN,South,VAIGAICHELVAN,AIADMK,52006,39034,171201,53.17725947862454
208,Tiruchuli,THANGAM THENARASU,DMK,102225,77.46,GEN,South,RAJASEKAR S,AIADMK,41233,60992,172811,59.15422050679644
209,Paramakudi,MURUGESAN S,DMK,84864,70.59,SC,South,SADHAN PRABHAKAR N,AIADMK,71579,13285,182158,46.58812679102757
210,Tiruvadanai,KARUMANICKAM,INC,79364,68.72,GEN,South,K C ANIMUTHU,AIADMK,65512,13852,201815,39.325124495206005
211,Ramanathapuram,KATHARBATCHA MUTHURAMALINGAM,DMK,111082,68.81,GEN,South,D.KUPPURAMU,BJP,60603,50479,214098,51.88371680258573
212,Mudukulathur,R.S.RAJAKANNAPPAN,DMK,101901,70.29,GEN,South,KEERTHIKA,AIADMK,81180,20721,221213,46.06465261987315
213,Vilathikulam,MARKANDAYAN V,DMK,90348,76.52,GEN,South,CHINNAPPAN P,AIADMK,51799,38549,167169,54.04590564039984
214,Thoothukkudi,P.Geetha Jeevan,DMK,92314,65.07,GEN,South,SDR Vijayaseelan,AIADMK,42004,50310,188407,48.99711794147776
215,Tiruchendur,Anitha R. Radhakrishnan,DMK,88274,70.04,GEN,South,Radhakrishnan M,AIADMK,63011,25263,174536,50.57638538754182
216,Srivaikuntam,Amirtharaj .S,INC,76843,72.34,GEN,South,S.P.SHUNMUGANATHAN,AIADMK,59471,17372,164386,46.74546494227002
217,Ottapidaram,SHUNMUGAIAH C,DMK,73110,69.82,SC,South,MOHAN P,AIADMK,64600,8510,177840,41.109986504723345
218,Kovilpatti,KADAMBUR RAJU,AIADMK,68556,67.43,GEN,South,TTV DHINAKARAN,AMMK,56153,12403,180928,37.89131588256102
219,Sankarankovil,RAJA E,DMK,71347,71.48,SC,South,RAJALAKSHMI V M,AIADMK,66050,5297,183338,38.91555487678495
220,Vasudevanallur,"SADHAN THIRUMALAIKUMAR, DOCTOR.T",DMK,68730,71.87,SC,South,MANOHARAN A,AIADMK,66363,2367,175881,39.07755812168455
221,Kadayanallur,C.KRISHNAMURALI,AIADMK,88474,70.35,GEN,South,K.A.M.MUHAMMED ABUBACKER,IUML,64125,24349,205374,43.07945504299473
222,Tenkasi,PALANI NADAR.S,INC,89315,72.4,GEN,South,SELVA MOHANDAS PANDIAN.S,AIADMK,88945,370,214108,41.714928914379655
223,Alangulam,PAUL MANOJ PANDIAN,AIADMK,74153,77.4,GEN,South,DR.POONGOTHAI ALADI ARUNA,DMK,70614,3539,203478,36.44276039670136
224,Tirunelveli,Nainar Nagenthran,BJP,92282,66.91,GEN,South,"Lakshmanan,A.L.S.",DMK,69175,23107,197587,46.704489667842516
225,Ambasamudram,E.SUBAYA,AIADMK,85211,72.03,GEN,South,R.AVUDAIAPPAN,DMK,68296,16915,177681,47.95729425205846
226,Palayamcottai,ABDUL WAHAB .M,DMK,89117,57.76,GEN,South,GERALD .G,AIADMK,36976,52141,161091,55.32090557510973
227,Nanguneri,RUBY R MANOHARAN,INC,75902,68.59,GEN,South,GANESARAJA,AIADMK,59416,16486,192522,39.42510466336315
228,Radhapuram,M.Appavu,DMK,82331,68.08,GEN,South,I.S.Inbadurai,AIADMK,76406,5925,187310,43.954407132560995
229,Kanniyakumari,THALAVAI SUNDARAM N.,AIADMK,109745,75.19,GEN,South,AUSTIN S.,DMK,93532,16213,224874,48.80288517125146
230,Nagercoil,Gandhi M.R.,BJP,88804,67.06,GEN,South,Suresh Rajan N.,DMK,77135,11669,184185,48.21456687569563
231,Colachel,Prince J.G.,INC,90681,67.27,GEN,South,Ramesh P.,BJP,65849,24832,182969,49.5608545709929
232,Padmanabhapuram,"Mano Thangaraj, T.",DMK,87744,70.08,GEN,South,"John Thankam, D.",AIADMK,60859,26885,170156,51.56679752697525
233,Vilavancode,VIJAYADHARANI S,INC,87473,66.83,GEN,South,JAYASEELAN R,BJP,58804,28669,167836,52.11813913582306
234,Killiyoor,RAJESH KUMAR  S,INC,101541,65.87,GEN,South,JUDE DEV   K.V,AIADMK,46141,55400,169918,59.75882484492519
